ON,SK,IL,CO
-33.38,-54,-5.78,-109.73
-52.17,-48,-13.92,-96.52
-56.71,-40,-55.17,
-32.37,-36,-41.21,
-47.51,-49,-42.29,
,-45,-49.4,
,-51,-49.57,
,-54,-55.03,
,-52,-45.56,
,-30,-53.03,
,-40,-55.08,
,-66,-62.11,
,-32,-48.36,
,-53,-51.43,
,-37,-52.8,
,-38,-40.86,
,-36,-46.25,
,-53,-37.74,
,-52,-49.56,
,-76,-65.58,
,-28,-50.91,
,-54,-50.2,
,-44,-27.76,
,-82,-83.68,
,-49,,
,-35,,
,-57,,
,-69,,
,-38,,
,-39,,
,-45,,
,-55,,
,-32,,
,-36,,
,-77,,
,-41,,
,-47,,
,-40,,
,-47,,
,-34,,
,-53,,
,-51,,
,-48,,
,-41,,
,-74,,
,-48,,
,-44,,
,-43,,
,-44,,
,-35,,
,-67,,
,-44,,
,-49,,
,-60,,
,-57,,
,-39,,
,-46,,
,-39,,
,-55,,
,-59,,
,-52,,
,-60,,
,-61,,
,-72,,
